firstName,lastName,bcubeID
Jose,Marte,208726
Joshua,Javier,208756
Luis,Medina,208852
Luis,Oviedo,208859
Moises,Nolasco,208942
Victor,Isturiz,209108
Wilkel,Hernandez,209130
Yerry,Rodriguez,209168
Yordi,Rosario,209187
Cionel,Perez,209296
Hunter,Greene,209811
MacKenzie,Gore,209812
Shane,Baz,209815
Trevor,Rogers,209816
D.L.,Hall,209819
Hans,Crouse,209842
Jacob,Heatherly,209847
Seth,Corry,209853
James,Marinan,209863
James,Marinan,209863
Jackson,Tetreault,209885
Riley,O'Brien,209887
Jhordany,Mezquita,209889
Jared,Solomon,209902
Seth,Nordlin,209932
Tommy,Romero,209954
Tommy,Romero,209954
Joey,Cantillo,209960
Joey,Cantillo,209960
Zack,Draper,210114
Rylan,Kaufman,210120
Ben,Brown,210141
Ben,Brown,210141
Connor,Nurse,210158
Osvaldo,Hernandez,210285
Carlos,Hernandez,210290
Tahnaj,Thomas,210311
Michel,Baez,210317
Michel,Baez,210317
Luis,Patino,210318
Michell,Miliano,210320
Francisco,Morales,210347
Wellington,Diaz,210363
Pedro,Espinola,210366
Wes,Robertson,210373
Ramon,Rosso,210408
Ramon,Rosso,210408
Elvis,Luciano,210422
Yoendrys,Gomez,210470
Aneudis,Beard,210553
Rovaldis,Cabrera,210589
Yovanny,Cruz,210646
Christofer,Dominguez,210690
Rodolfo,Fajardo,210711
Ignacio,Feliz,210715
Santiago,Florez,210721
Luis,Garcia,210741
Raul,Hernandez,210809
Sergio,Morillo,210968
Helcris,Olivarez,210997
Helcris,Olivarez,210997
Robinson,Ortiz,211003
Matthew,Peguero,211026
Wilber,Perez,211054
Antonio,Pujols,211076
Carlos,Romero,211127
Kelvin,Sanchez,211153
Livan,Sanchez,211156
Yasel,Santana,211172
Manuel,Santiago,211174
Victor,Santos,211183
Hector,Soto,211207
Jesus,Toledo,211222
Joan,Valdez,211237
Marcelo,Martinez,211336
Marcelo,Martinez,211336
Grayson,Rodriguez,215752
Matthew,Liberatore,215756
Gabriel,Cotto,215817
Ethan,Hankins,215919
Adam,Kloffenstein,215937
Simeon,Woods-Richardson,215989
Lenny,Torres,215993
Josiah,Gray,216146
Joey,O'Brien,216174
Gus,Varland,216193
Tanner,Myatt,216203
Tanner,Myatt,216203
Ben,Madison,216218
Kyle,Glogoski,216240
Omar,Cruz,216259
Frank,Lopez,216264
Carlos,Vargas,216309
Leonardo,Pestana,216317
Michel,Gelabert,216348
Michel,Gelabert,216348
Michel,Gelabert,216348
Rito,Lugo,216351
Junior,Santos,216367
Brayan,Bello,216372
Ivan,Armstrong,216426
Jeisson,Cabrera,216486
Felix,Cepeda,216537
Enmanuel,De Los Santos,216604
Carlos,Duran,216631
Lazaro,Estrada,216646
Heribert,Garcia,216699
Misael,Garcia,216707
Ronny,Henriquez,216777
Ludwin,Jimenez,216834
Johan,Lopez,216871
Bryan,Lucas,216876
Kelvin,Moncion,216954
Israel,Puello,217117
Julio,Puello,217118
Luis,Ramos,217142
Jesus,Roman,217199
Jose,Salvador,217217
Angel,Suero,217263
Juan,Toribio,217282
